date,nav,scheme_code,scheme_name,fund_house,scheme_category
2013-07-01,30.6076,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-08-01,30.6239,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-09-01,30.6492,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-10-01,30.6784,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-11-01,30.6305,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6862,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6993,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6804,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6565,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.658,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6574,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6627,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6688,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6574,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6611,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6878,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.674,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6441,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6763,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-02,30.7201,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-04-02,30.7231,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-05-02,30.6673,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-06-02,30.7067,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-07-02,30.6882,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-08-02,30.6813,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-11-02,30.5643,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-12-02,30.6846,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.693,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.648,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6442,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6588,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6778,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.7038,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6841,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.6784,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.8655,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.8517,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.8692,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.8823,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-03,30.8771,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-04-03,30.9006,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-05-03,30.9255,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-06-03,30.9339,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-07-03,30.9351,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-08-03,30.9455,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-11-03,30.9535,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-12-03,30.9494,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.9439,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.9591,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.9911,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.9884,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.9834,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.9819,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.9869,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.9812,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.9981,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,30.9902,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.0136,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.0185,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-04,31.055,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-04,31.0775,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-03-04,31.0919,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-04-04,31.0996,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-05-04,31.0949,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-08-04,31.1187,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-09-04,31.1389,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-10-04,31.1225,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-11-04,31.1374,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-12-04,31.1464,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.1685,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.1787,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.1958,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.2408,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.2458,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.2718,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.2609,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.2657,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.3033,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.3278,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.3398,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.3503,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-05,31.3834,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-03-05,31.3656,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-06-05,31.3995,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-07-05,31.4319,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-08-05,31.4751,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-09-05,31.4968,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-10-05,31.4982,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.4879,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.5705,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.5899,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.5827,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.5851,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.5989,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.5881,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.5981,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.6113,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.6135,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.6336,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.6184,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.6166,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.6382,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
,31.6046,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund
